session_uuid,action_type,elapsed_time,event_time,time_group,tag_applied_type,patient_id,location_id,tool_applied_type,injury_treated_id
04882754-51a0-4e5b-9617-b200e3609116,SESSION_START,13984,2023-06-07 10:26:00,1,,,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,35915,2023-06-07 10:26:00,1,,Mike_3 Root,"(3.2, 0.0, 4.3)",,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,48784,2023-06-07 10:26:00,1,,Mike_3 Root,"(0.0, 0.0, 0.0)",,R Chest Collapse
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,50952,2023-06-07 10:26:00,1,,Mike_3 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,58404,2023-06-07 10:26:00,1,red,Mike_3 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,69080,2023-06-07 10:27:00,1,,Mike_1 Root,"(2.9, 0.0, 0.1)",,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,72904,2023-06-07 10:27:00,1,,Mike_1 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,75644,2023-06-07 10:27:00,1,,Mike_1 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,81426,2023-06-07 10:27:00,1,,Mike_1 Root,"(2.8, 0.3, 0.3)",,L Thigh Laceration
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,81427,2023-06-07 10:27:00,1,,Mike_1 Root,,Tourniquet,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,86304,2023-06-07 10:27:00,1,yellow,Mike_1 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,103663,2023-06-07 10:27:00,1,,Mike_2 Root,"(2.6, 0.0, -3.8)",,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,122877,2023-06-07 10:27:00,1,,Mike_2 Root,"(2.5, 0.5, -4.0)",,L Shoulder Puncture
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,122877,2023-06-07 10:27:00,1,,Mike_2 Root,,Gauze_Pack,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,131396,2023-06-07 10:28:00,1,red,Mike_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,137543,2023-06-07 10:28:00,1,,Mike_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,138981,2023-06-07 10:28:00,1,,Mike_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,139181,2023-06-07 10:28:00,1,,Mike_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,145078,2023-06-07 10:28:00,1,,Mike_0 Root,"(4.7, 0.0, -3.3)",,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,160026,2023-06-07 10:28:00,1,,Mike_0 Root,"(4.7, 1.0, -3.0)",,R Forearm Laceration
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,160026,2023-06-07 10:28:00,1,,Mike_0 Root,,Gauze_Dressing,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,167410,2023-06-07 10:28:00,1,green,Mike_0 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,SESSION_END,186763,2023-06-07 10:29:00,1,,,,,
04882754-51a0-4e5b-9617-b200e3609116,SESSION_START,206806,2023-06-07 10:29:00,2,,,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,230961,2023-06-07 10:29:00,2,,Gary_3 Root,"(0.4, 0.0, 1.7)",,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,239121,2023-06-07 10:29:00,2,,Gary_3 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,240341,2023-06-07 10:29:00,2,,Gary_3 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,250467,2023-06-07 10:30:00,2,,Gary_3 Root,"(0.0, 0.0, 0.0)",,R Chest Collapse
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,281683,2023-06-07 10:30:00,2,red,Gary_3 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,299882,2023-06-07 10:30:00,2,,Bob_0 Root,"(-1.7, 0.0, 5.7)",,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,302752,2023-06-07 10:30:00,2,,Bob_0 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,304272,2023-06-07 10:30:00,2,,Bob_0 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,313242,2023-06-07 10:31:00,2,black,Bob_0 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,333753,2023-06-07 10:31:00,2,,Gary_1 Root,"(1.6, 0.0, 7.6)",,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,343821,2023-06-07 10:31:00,2,,Gary_1 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,349772,2023-06-07 10:31:00,2,gray,Gary_1 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,357157,2023-06-07 10:31:00,2,,Gary_1 Root,,Gauze_Dressing,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,371139,2023-06-07 10:32:00,2,,Lily_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,371841,2023-06-07 10:32:00,2,,Lily_2 Root,"(3.0, 0.0, 4.5)",,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,378842,2023-06-07 10:32:00,2,,Lily_2 Root,"(3.3, 0.1, 4.3)",,R Shin Amputation
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,378842,2023-06-07 10:32:00,2,,Lily_2 Root,,Tourniquet,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,392014,2023-06-07 10:32:00,2,red,Lily_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,392080,2023-06-07 10:32:00,2,,Lily_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,392198,2023-06-07 10:32:00,2,,Lily_2 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,405214,2023-06-07 10:32:00,2,,Mike_5 Root,"(2.7, 0.0, 2.3)",,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,419723,2023-06-07 10:32:00,2,,Mike_5 Root,"(3.0, 0.3, 2.2)",,R Thigh Laceration
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,419723,2023-06-07 10:32:00,2,,Mike_5 Root,,Tourniquet,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,426606,2023-06-07 10:33:00,2,yellow,Mike_5 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,428444,2023-06-07 10:33:00,2,,Mike_5 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PULSE_TAKEN,434374,2023-06-07 10:33:00,2,,Mike_5 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,446873,2023-06-07 10:33:00,2,,Mike_5 Root,,Gauze_Pack,
04882754-51a0-4e5b-9617-b200e3609116,INJURY_TREATED,453221,2023-06-07 10:33:00,2,,Mike_5 Root,"(2.3, 0.2, 2.5)",,R Side Puncture
04882754-51a0-4e5b-9617-b200e3609116,TOOL_APPLIED,453221,2023-06-07 10:33:00,2,,Mike_5 Root,,Gauze_Pack,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,471648,2023-06-07 10:33:00,2,red,Mike_5 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,487539,2023-06-07 10:34:00,2,,Gary_9 Root,"(2.9, 0.0, 9.1)",,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,498078,2023-06-07 10:34:00,2,green,Gary_9 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,507953,2023-06-07 10:34:00,2,,Helga_10 Root,"(4.6, 0.0, -3.2)",,
04882754-51a0-4e5b-9617-b200e3609116,TAG_APPLIED,520751,2023-06-07 10:34:00,2,green,Helga_10 Root,,,
04882754-51a0-4e5b-9617-b200e3609116,PATIENT_ENGAGED,522805,2023-06-07 10:34:00,2,,Gloria_8 Root,"(2.8, 0.0, -3.6)",,
