file_path,nlp_word,nlp_tag,nlp_type,nlp_pofs,is_probe,is_probe_probability
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,i.e.,FW,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,2,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,.,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,3,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,4,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,5,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,6,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,7,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,8,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,10,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,<,XX,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,>,XX,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,[,XX,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,[,XX,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,2,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,3,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,etc,FW,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,5,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,.,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,i.e.,FW,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,6,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,i.e.,FW,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,[,XX,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,TBI,XX,ORG,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,i.e.,FW,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,2,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,3,LS,CARDINAL,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,.,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,i.e.,FW,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,>,XX,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,LS,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,>,XX,,X,False,0.0
../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,,ADD,,X,False,0.0
