bert_word,bert_entity,bert_score,bert_start,bert_end,file_path,is_probe,is_probe_probability
TRAUMA,I-ORG,0.5214896202087402,6.0,12.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
lines,I-MISC,0.5414152145385742,88.0,263.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
D,I-ORG,0.992711067199707,263.0,491.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Remley,I-PER,0.9986920952796936,492.0,498.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
USA,I-LOC,0.9963985681533812,513.0,526.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Loos,I-PER,0.9992792010307312,527.0,531.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Jamie,I-PER,0.9997666478157043,547.0,554.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
iesberg,I-PER,0.999400794506073,554.0,561.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Michael,I-PER,0.9997931122779846,586.0,596.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
mley,I-PER,0.9986887574195862,596.0,600.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
USA,I-LOC,0.99687397480011,615.0,623.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Mosely,I-PER,0.9968156218528748,624.0,630.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Montgomery,I-PER,0.9998383522033693,653.0,671.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
USA,I-LOC,0.996551275253296,673.0,683.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
rendon,I-PER,0.9994590878486632,683.0,689.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
US,I-LOC,0.9849709868431092,700.0,708.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Keenan,I-PER,0.9997965097427368,709.0,715.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
John,I-PER,0.9997617602348328,724.0,732.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
tha,I-PER,0.9984342455863952,732.0,739.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
C,I-ORG,0.5104068517684937,740.0,746.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
HM,I-ORG,0.4632239639759063,748.0,757.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Papalski,I-PER,0.9995262622833252,758.0,766.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Brit,I-PER,0.9856303334236144,784.0,788.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
USAF,I-ORG,0.7493708729743958,796.0,823.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Scarborough,I-PER,0.999829649925232,824.0,840.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
US,I-LOC,0.9059851765632628,842.0,859.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
S,I-PER,0.9997113347053528,860.0,862.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Tripp,I-PER,0.997763454914093,863.0,868.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Shelia,I-PER,0.999648928642273,878.0,884.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Savell,I-PER,0.9964346289634703,887.0,893.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Brendan,I-PER,0.9997878670692444,907.0,920.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
US,I-LOC,0.972537100315094,926.0,936.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Fisher,I-PER,0.999816596508026,937.0,952.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Fruendt,I-PER,0.9935304522514344,953.0,960.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
John,I-PER,0.9997518658638,969.0,979.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
man,I-PER,0.9996036887168884,979.0,988.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Steven,I-PER,0.9997565150260924,997.0,1007.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
avides,I-PER,0.9982179403305054,1007.0,1013.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Walter,I-PER,0.9997251629829408,1019.0,1028.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
gle,I-PER,0.9990609288215636,1028.0,1035.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Laura,I-PER,0.9997585415840148,1042.0,1052.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
ey,I-PER,0.9990018010139464,1052.0,1058.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
USA,I-LOC,0.998784363269806,1060.0,1071.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Otten,I-PER,0.9996063709259032,1072.0,1077.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
Jensen,I-PER,0.9998419284820556,1099.0,1114.0,../data/Domain_Knowledge/Prolonged_Casualty_Care_Guidelines_21_Dec_2021_ID91.txt,False,0.0
