encounter_layout,session_uuid,scene_id,patient_id,first_patient_interaction,first_patient_triage,is_correct_bleeding_tool_applied,is_patient_dead,is_patient_gazed_at,is_patient_severely_hemorrhaging,is_patient_still,is_tag_correct,last_patient_interaction,last_tag,max_salt,maximum_injury_severity,patient_engagement_count,pulse_value,tag_value,time_to_hemorrhage_control,treatment_value,wrapped_label,tag_correct,action_count,assessment_count,treatment_count,tag_application_count,treated_expectant
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,Navy Soldier 1 Male Root,706140.0,732854.0,False,True,False,True,True,False,938448.0,red,,high,2,1,0,0,1.0,"Navy Soldier 1 Male
(still)",False,21,5,7,1,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,Navy Soldier 2 Male Root,636210.0,651632.0,False,False,False,False,False,True,692264.0,red,,high,1,1,1,650970,1.0,"Navy Soldier 2 Male
(waver)",True,14,6,4,1,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,Navy Soldier 3 Male Root,869297.0,889749.0,False,False,False,False,False,False,927435.0,,,medium,1,1,0,898559,,"Navy Soldier 3 Male
(waver)",False,9,2,4,1,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,Navy Soldier 4 Female Root,808053.0,830206.0,False,False,False,False,False,True,862075.0,red,,high,1,1,1,0,,"Navy Soldier 4
Female (waver)",True,11,2,5,1,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,Simulation Root,887608.0,,False,,False,False,,,897184.0,,,,0,0,0,0,,"Simulation (no SORT
info)",,5,0,0,0,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,bystander Root,538890.0,576479.0,False,False,False,False,True,False,597431.0,red,,medium,1,1,0,0,1.0,bystander (still),False,12,4,3,1,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,electrician Root,,,False,False,False,False,True,,,,,high,0,0,0,0,0.0,electrician (still),,0,0,0,0,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,patient U Root,169349.0,182133.0,False,False,True,False,True,False,399996.0,gray,,high,2,1,0,0,1.0,patient U (still),False,11,5,1,2,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,patient V Root,78040.0,119452.0,False,False,True,False,True,False,434372.0,gray,,high,2,1,0,0,1.0,patient V (still),False,8,4,1,2,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,patient W Root,269905.0,301712.0,False,False,True,False,True,False,312819.0,red,,high,1,0,0,0,1.0,patient W (still),False,4,1,1,1,
Submarine,04f80090-9e61-431d-8473-dccb75fed04d,0,patient X Root,213386.0,236409.0,False,False,True,False,True,False,255894.0,red,,high,1,1,0,0,1.0,patient X (still),False,6,2,1,1,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,Adept Shooter Root,536822.0,,False,False,False,False,True,,707881.0,,,medium,2,1,0,707230,0.0,"Adept Shooter
(still)",,4,4,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,Adept Victim Root,544891.0,589475.0,False,True,False,True,True,True,693865.0,gray,,high,8,1,1,0,1.0,Adept Victim (still),True,21,14,2,1,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,Civilian 1 Female Root,,,False,False,False,False,False,,,,,high,0,0,0,31408,0.0,"Civilian 1 Female
(waver)",,0,0,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,Marine 1 Male Root,752466.0,,False,True,False,True,True,,763160.0,,,high,1,1,0,0,0.0,"Marine 1 Male
(still)",,3,3,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,Marine 2 Male Root,,,False,False,False,False,False,,,,,medium,0,0,0,31408,0.0,"Marine 2 Male
(waver)",,0,0,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,Marine 3 Male Root,,,False,False,False,True,False,,,,,high,0,0,0,31408,0.0,"Marine 3 Male
(waver)",,0,0,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,Marine 4 Male Root,,,False,False,False,False,False,,,,,medium,0,0,0,31408,0.0,"Marine 4 Male
(waver)",,0,0,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,NPC 1 Root,,,False,False,False,False,False,,,,,,0,0,0,0,,NPC 1 (walker),,0,0,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,NPC 2 Root,571434.0,,False,False,False,False,False,,692327.0,,,,4,0,0,0,,NPC 2 (walker),,4,4,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,NPC 3 Root,702439.0,,False,False,False,False,False,,702439.0,,,,1,0,0,0,,NPC 3 (walker),,1,1,0,0,
Urban,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,NPC 4 Root,630329.0,,False,False,False,False,False,,683605.0,,,,3,0,0,0,,NPC 4 (walker),,3,3,0,0,
